tau_samples,adev_white,adev_pink_drift
1,1.0038692337050306,0.9957226668518268
2,1.0068386942084193,1.0056602676632447
3,0.8904757856230283,0.8877297454417796
4,0.7937199191759432,0.7924283622367486
5,0.7200459668167607,0.7208177705698076
6,0.6662994179779419,0.666492845755026
7,0.6244605743720785,0.622410375458254
9,0.560268043051245,0.55566242596122
11,0.5100802657559389,0.5072200473337602
14,0.4527081493012392,0.4546788278922281
17,0.4098990547198097,0.41714491183333685
20,0.379364063877775,0.38685318308133587
24,0.3483595716676746,0.35417430567849323
29,0.31826490717390454,0.32249043131255856
36,0.2841737689744985,0.2861190741445504
43,0.25660218028998144,0.25803677089673405
52,0.23094370318800125,0.2334098499138103
63,0.2091232649085104,0.21241859424505344
77,0.18858529535713323,0.19423412758057237
93,0.17287452503881412,0.17873016276483147
112,0.15678565868149102,0.16388114960324704
135,0.14528763749506926,0.1479523763040584
164,0.13546988359288295,0.13405859243929194
198,0.12617666839835034,0.12114917791525866
239,0.11503359725193402,0.10911361756975553
289,0.10207300844508149,0.09908739760458704
349,0.09354932851557975,0.08909800452730338
422,0.08866972378939778,0.08136269943448761
510,0.08529779757846102,0.07444373131126585
616,0.0815533224948253,0.07109218877628658
744,0.07573405775123525,0.06951374572356604
899,0.0665634612173108,0.07014418195547323
1086,0.05709195282481327,0.06978272063116288
1312,0.05058041054742998,0.06747337828389736
1584,0.04560964340227962,0.06122915863063192
